epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.449,1.96328,2.48292,1.74239,0.31137,0.29182,0.23557,0.09808,2.1272,3.21984,1.88833,0.000416392,0.000416392,0.000416392
2,638.089,1.99543,2.48238,1.77991,0.3902,0.36326,0.31367,0.13579,2.04741,2.73158,1.81743,0.000791822,0.000791822,0.000791822
3,954.159,1.95129,2.39762,1.74399,0.39771,0.39677,0.35075,0.1542,1.99687,2.77095,1.7438,0.001126,0.001126,0.001126
4,1268.19,1.89692,2.29303,1.70041,0.4676,0.41489,0.39193,0.1812,1.90678,2.57245,1.74503,0.00106437,0.00106437,0.00106437
5,1588.62,1.83305,2.17793,1.66091,0.50565,0.42984,0.41776,0.19035,1.8747,2.43812,1.69949,0.0010025,0.0010025,0.0010025
6,1924.49,1.79097,2.07526,1.6217,0.49419,0.47372,0.45048,0.22373,1.81132,2.34716,1.64251,0.000940625,0.000940625,0.000940625
7,2260.99,1.76081,2.02044,1.5978,0.51902,0.48567,0.4771,0.23791,1.78182,2.34622,1.61519,0.00087875,0.00087875,0.00087875
8,2600.67,1.73447,1.96378,1.57371,0.55799,0.49049,0.50126,0.25336,1.76058,2.19179,1.5998,0.000816875,0.000816875,0.000816875
9,2940.7,1.71018,1.91718,1.55707,0.55764,0.49761,0.50856,0.25887,1.75371,2.31856,1.60473,0.000755,0.000755,0.000755
10,3280.84,1.68986,1.87754,1.54317,0.55113,0.51801,0.5247,0.27242,1.71249,2.0987,1.56876,0.000693125,0.000693125,0.000693125
11,3638.27,1.70158,1.83384,1.59393,0.58517,0.52425,0.54968,0.28572,1.71196,2.06528,1.55787,0.00063125,0.00063125,0.00063125
12,3955.28,1.67809,1.76401,1.57889,0.59597,0.52919,0.55678,0.29148,1.69739,2.0335,1.53931,0.000569375,0.000569375,0.000569375
13,4271.38,1.65099,1.71158,1.55507,0.60652,0.55457,0.57433,0.3051,1.69336,1.93871,1.55545,0.0005075,0.0005075,0.0005075
14,4589.18,1.63329,1.66764,1.54,0.60586,0.55336,0.58195,0.31233,1.67506,1.92961,1.52533,0.000445625,0.000445625,0.000445625
15,4902.81,1.60443,1.61495,1.51991,0.62086,0.55928,0.59268,0.3198,1.63991,1.9343,1.50801,0.00038375,0.00038375,0.00038375
16,5212.79,1.58752,1.57438,1.50353,0.61917,0.57235,0.60207,0.32747,1.63789,1.93816,1.49986,0.000321875,0.000321875,0.000321875
17,5522.74,1.56624,1.51744,1.48734,0.63469,0.5723,0.61064,0.33167,1.6318,1.82073,1.48796,0.00026,0.00026,0.00026
18,5834.02,1.53624,1.48765,1.46917,0.63683,0.58213,0.61269,0.33628,1.62099,1.85791,1.48415,0.000198125,0.000198125,0.000198125
19,6144.81,1.52024,1.44525,1.45567,0.64515,0.58188,0.62041,0.34377,1.62782,1.86666,1.48271,0.00013625,0.00013625,0.00013625
20,6456.06,1.50339,1.41823,1.44625,0.65082,0.58106,0.62606,0.34608,1.62238,1.84398,1.48343,7.4375e-05,7.4375e-05,7.4375e-05
