epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.465,2.01254,2.89133,1.85121,0.32184,0.29687,0.23695,0.09764,2.14575,3.02722,1.92794,0.000416365,0.000416365,0.000416365
2,581.656,2.0055,2.54222,1.83377,0.33636,0.30412,0.26019,0.1038,2.18586,2.91963,1.99997,0.000791797,0.000791797,0.000791797
3,863.645,1.95132,2.42109,1.78759,0.39643,0.33158,0.28858,0.12653,2.09358,2.72292,1.8794,0.00112598,0.00112598,0.00112598
4,1146.19,1.89633,2.31297,1.73533,0.44165,0.37691,0.35333,0.16022,2.00619,2.66821,1.78534,0.00106437,0.00106437,0.00106437
5,1428.97,1.83871,2.19792,1.68601,0.50188,0.41214,0.41048,0.19434,1.94022,2.40008,1.72866,0.0010025,0.0010025,0.0010025
6,1712.42,1.80145,2.1175,1.66208,0.4914,0.41474,0.40568,0.19359,1.9397,2.40762,1.74804,0.000940625,0.000940625,0.000940625
7,1995.81,1.77374,2.04747,1.63659,0.52363,0.44754,0.45291,0.22235,1.86608,2.25883,1.66886,0.00087875,0.00087875,0.00087875
8,2279.27,1.74902,1.99113,1.61296,0.52829,0.47355,0.4659,0.232,1.84233,2.27041,1.66401,0.000816875,0.000816875,0.000816875
9,2562.09,1.71953,1.93259,1.59577,0.53581,0.47372,0.48344,0.24439,1.84764,2.17706,1.65325,0.000755,0.000755,0.000755
10,2844.42,1.70205,1.88512,1.5773,0.55225,0.50632,0.50653,0.2591,1.82898,2.09969,1.62891,0.000693125,0.000693125,0.000693125
11,3142.17,1.72037,1.85256,1.63812,0.54353,0.50026,0.49963,0.25736,1.78881,2.07481,1.62446,0.00063125,0.00063125,0.00063125
12,3423.48,1.70116,1.79451,1.61816,0.57979,0.50653,0.52817,0.27353,1.7963,2.04681,1.62636,0.000569375,0.000569375,0.000569375
13,3704.73,1.67705,1.7406,1.59953,0.59201,0.52329,0.5454,0.28752,1.7597,1.98931,1.59056,0.0005075,0.0005075,0.0005075
14,3985.68,1.65178,1.68903,1.58457,0.59462,0.52854,0.55177,0.29255,1.75449,1.95199,1.59079,0.000445625,0.000445625,0.000445625
15,4266.3,1.63003,1.64888,1.56645,0.59269,0.54149,0.55982,0.29669,1.74131,1.94388,1.57154,0.00038375,0.00038375,0.00038375
16,4547.63,1.61479,1.59394,1.5484,0.6103,0.54328,0.56886,0.3033,1.73848,1.91233,1.57571,0.000321875,0.000321875,0.000321875
17,4830.06,1.58101,1.54301,1.53225,0.60345,0.55674,0.57682,0.3111,1.7157,1.8885,1.56212,0.00026,0.00026,0.00026
18,5110.83,1.56347,1.50612,1.51217,0.61168,0.56834,0.58576,0.31558,1.73195,1.87476,1.56138,0.000198125,0.000198125,0.000198125
19,5393.35,1.5359,1.46476,1.49602,0.62141,0.56195,0.59052,0.3202,1.72004,1.84296,1.5627,0.00013625,0.00013625,0.00013625
20,5674.47,1.51501,1.4272,1.48473,0.62879,0.56203,0.59436,0.32437,1.71746,1.84155,1.56208,7.4375e-05,7.4375e-05,7.4375e-05
